X_Gd_197_0.005_1_Pd_[nm]	Y_Gd_197_0.005_1_Hardness (H)_[MPa]	X_Gd_197_0.005_2_Pd_[nm]	Y_Gd_197_0.005_2_Hardness (H)_[MPa]	X_Gd_197_0.005_3_Pd_[nm]	Y_Gd_197_0.005_3_Hardness (H)_[MPa]	X_Gd_197_0.005_4_Pd_[nm]	Y_Gd_197_0.005_4_Hardness (H)_[MPa]	X_Gd_197_0.02_1_Pd_[nm]	Y_Gd_197_0.02_1_Hardness (H)_[MPa]	X_Gd_197_0.02_2_Pd_[nm]	Y_Gd_197_0.02_2_Hardness (H)_[MPa]	X_Gd_197_0.02_3_Pd_[nm]	Y_Gd_197_0.02_3_Hardness (H)_[MPa]	X_Gd_197_0.02_4_Pd_[nm]	Y_Gd_197_0.02_4_Hardness (H)_[MPa]	X_Gd_197_0.05_1_Pd_[nm]	Y_Gd_197_0.05_1_Hardness (H)_[MPa]	X_Gd_197_0.05_2_Pd_[nm]	Y_Gd_197_0.05_2_Hardness (H)_[MPa]	X_Gd_197_0.05_3_Pd_[nm]	Y_Gd_197_0.05_3_Hardness (H)_[MPa]	X_Gd_197_0.05_4_Pd_[nm]	Y_Gd_197_0.05_4_Hardness (H)_[MPa]	X_Gd_197_0.2_1_Pd_[nm]	Y_Gd_197_0.2_1_Hardness (H)_[MPa]	X_Gd_197_0.2_2_Pd_[nm]	Y_Gd_197_0.2_2_Hardness (H)_[MPa]	X_Gd_197_0.2_3_Pd_[nm]	Y_Gd_197_0.2_3_Hardness (H)_[MPa]	X_Gd_197_0.2_4_Pd_[nm]	Y_Gd_197_0.2_4_Hardness (H)_[MPa]	X_Gd_190_0.005_1_Pd_[nm]	Y_Gd_190_0.005_1_Hardness (H)_[MPa]	X_Gd_190_0.005_2_Pd_[nm]	Y_Gd_190_0.005_2_Hardness (H)_[MPa]	X_Gd_190_0.005_3_Pd_[nm]	Y_Gd_190_0.005_3_Hardness (H)_[MPa]	X_Gd_190_0.005_4_Pd_[nm]	Y_Gd_190_0.005_4_Hardness (H)_[MPa]	X_Gd_190_0.02_1_Pd_[nm]	Y_Gd_190_0.02_1_Hardness (H)_[MPa]	X_Gd_190_0.02_2_Pd_[nm]	Y_Gd_190_0.02_2_Hardness (H)_[MPa]	X_Gd_190_0.02_3_Pd_[nm]	Y_Gd_190_0.02_3_Hardness (H)_[MPa]	X_Gd_190_0.02_4_Pd_[nm]	Y_Gd_190_0.02_4_Hardness (H)_[MPa]	X_Gd_190_0.02_5_Pd_[nm]	Y_Gd_190_0.02_5_Hardness (H)_[MPa]	X_Gd_190_0.02_6_Pd_[nm]	Y_Gd_190_0.02_6_Hardness (H)_[MPa]	X_Gd_190_0.02_7_Pd_[nm]	Y_Gd_190_0.02_7_Hardness (H)_[MPa]	X_Gd_190_0.02_8_Pd_[nm]	Y_Gd_190_0.02_8_Hardness (H)_[MPa]	X_Gd_190_0.05_1_Pd_[nm]	Y_Gd_190_0.05_1_Hardness (H)_[MPa]	X_Gd_190_0.05_2_Pd_[nm]	Y_Gd_190_0.05_2_Hardness (H)_[MPa]	X_Gd_190_0.05_3_Pd_[nm]	Y_Gd_190_0.05_3_Hardness (H)_[MPa]	X_Gd_190_0.05_4_Pd_[nm]	Y_Gd_190_0.05_4_Hardness (H)_[MPa]	X_Gd_190_0.2_1_Pd_[nm]	Y_Gd_190_0.2_1_Hardness (H)_[MPa]	X_Gd_190_0.2_2_Pd_[nm]	Y_Gd_190_0.2_2_Hardness (H)_[MPa]	X_Gd_190_0.2_3_Pd_[nm]	Y_Gd_190_0.2_3_Hardness (H)_[MPa]	X_Gd_190_0.2_4_Pd_[nm]	Y_Gd_190_0.2_4_Hardness (H)_[MPa]	X_Gd_212_0.005_1_Pd_[nm]	Y_Gd_212_0.005_1_Hardness (H)_[MPa]	X_Gd_212_0.005_2_Pd_[nm]	Y_Gd_212_0.005_2_Hardness (H)_[MPa]	X_Gd_212_0.005_3_Pd_[nm]	Y_Gd_212_0.005_3_Hardness (H)_[MPa]	X_Gd_212_0.005_4_Pd_[nm]	Y_Gd_212_0.005_4_Hardness (H)_[MPa]	X_Gd_212_0.02_1_Pd_[nm]	Y_Gd_212_0.02_1_Hardness (H)_[MPa]	X_Gd_212_0.02_2_Pd_[nm]	Y_Gd_212_0.02_2_Hardness (H)_[MPa]	X_Gd_212_0.02_3_Pd_[nm]	Y_Gd_212_0.02_3_Hardness (H)_[MPa]	X_Gd_212_0.02_4_Pd_[nm]	Y_Gd_212_0.02_4_Hardness (H)_[MPa]	X_Gd_212_0.05_1_Pd_[nm]	Y_Gd_212_0.05_1_Hardness (H)_[MPa]	X_Gd_212_0.05_2_Pd_[nm]	Y_Gd_212_0.05_2_Hardness (H)_[MPa]	X_Gd_212_0.05_3_Pd_[nm]	Y_Gd_212_0.05_3_Hardness (H)_[MPa]	X_Gd_212_0.05_4_Pd_[nm]	Y_Gd_212_0.05_4_Hardness (H)_[MPa]	X_Gd_212_0.2_1_Pd_[nm]	Y_Gd_212_0.2_1_Hardness (H)_[MPa]	X_Gd_212_0.2_2_Pd_[nm]	Y_Gd_212_0.2_2_Hardness (H)_[MPa]	X_Gd_212_0.2_3_Pd_[nm]	Y_Gd_212_0.2_3_Hardness (H)_[MPa]	X_Gd_212_0.2_4_Pd_[nm]	Y_Gd_212_0.2_4_Hardness (H)_[MPa]	X_Gd_184_0.2_1_Pd_[nm]	Y_Gd_184_0.2_1_Hardness (H)_[MPa]	X_Gd_184_0.2_2_Pd_[nm]	Y_Gd_184_0.2_2_Hardness (H)_[MPa]	X_Gd_184_0.2_3_Pd_[nm]	Y_Gd_184_0.2_3_Hardness (H)_[MPa]	X_Gd_184_0.2_4_Pd_[nm]	Y_Gd_184_0.2_4_Hardness (H)_[MPa]	X_Gd_184_0.005_1_Pd_[nm]	Y_Gd_184_0.005_1_Hardness (H)_[MPa]	X_Gd_184_0.005_2_Pd_[nm]	Y_Gd_184_0.005_2_Hardness (H)_[MPa]	X_Gd_184_0.005_3_Pd_[nm]	Y_Gd_184_0.005_3_Hardness (H)_[MPa]	X_Gd_184_0.005_4_Pd_[nm]	Y_Gd_184_0.005_4_Hardness (H)_[MPa]	X_Gd_184_0.05_1_Pd_[nm]	Y_Gd_184_0.05_1_Hardness (H)_[MPa]	X_Gd_184_0.05_2_Pd_[nm]	Y_Gd_184_0.05_2_Hardness (H)_[MPa]	X_Gd_184_0.05_3_Pd_[nm]	Y_Gd_184_0.05_3_Hardness (H)_[MPa]	X_Gd_184_0.05_4_Pd_[nm]	Y_Gd_184_0.05_4_Hardness (H)_[MPa]	X_Gd_184_0.02_1_Pd_[nm]	Y_Gd_184_0.02_1_Hardness (H)_[MPa]	X_Gd_184_0.02_2_Pd_[nm]	Y_Gd_184_0.02_2_Hardness (H)_[MPa]	X_Gd_184_0.02_3_Pd_[nm]	Y_Gd_184_0.02_3_Hardness (H)_[MPa]	X_Gd_184_0.02_4_Pd_[nm]	Y_Gd_184_0.02_4_Hardness (H)_[MPa]	
115.52893724231	80.361632	104.972218777447	69.874736	112.977484787446	79.160512	86.4139717574798	90.362992	61.4527326419678	153.886304	79.1672882990595	106.54776	113.310189327448	67.015864	50.6387479614917	219.03552	89.0764536233739	121.546696	76.9339955739848	125.620904	98.9391920840208	88.822664	78.1886435505644	125.40672	80.3839861870488	124.311616	86.1596400834488	91.32776	63.2147720950764	114.270728	79.9388808884982	118.033104	94.6993976706854	65.8544	95.3783141684779	91.571008	88.919260249496	110.367616	121.265134699478	56.898128	110.637617754421	64.429316	80.3198028599124	123.23172	77.1892296373157	109.786144	68.4428249003936	132.984464	83.1399612687585	113.704168	90.5005376255149	116.740064	92.7081015974	85.932296	106.587431675485	62.639388	87.5891739485272	95.818144	77.6600707944834	125.230128	66.9480347886174	128.726488	67.31359482565	138.237856	84.9138525750347	129.968408	72.1410436252158	123.87676	76.9502314759561	115.838984	62.429686298704	125.590664	113.010887402399	73.423432	101.647724225922	67.618048	61.2861672091402	245.05576	11.2367341593299	-644.784639432813	92.967343121874	93.000504	97.2265993012922	63.679412	87.7475184016696	134.837168	53.8148882910214	239.305904	53.0274612562685	200.205152	64.5325446900862	171.971488	85.8877366870655	79.2998	71.3277705977186	124.113888	60.6035061510243	177.790496	70.4080085274012	143.683056	72.9725349689731	117.457616	65.902790867616	124.48648	57.4093500099198	165.434048	69.0262160300888	95.192512	76.7601328670545	114.5768	58.6324427827119	109.102992	107.149982586151	85.210576	162.833179104847	55.729744	145.769352714423	49.632836	150.562702567135	49.5126	63.3133670078789	152.393056	82.7704292977206	111.863328	112.514473811448	91.608344	68.1801159272711	131.2564	74.5571021579517	132.677488	77.5885972986719	107.748888	122.267611052004	70.05316	57.4529879932707	175.309824	
117.613179413489	80.38488	105.56501749323	69.472448	113.794054733331	81.519656	92.1786477683018	85.036128	63.1913170787056	154.452736	81.4123689284538	105.897048	116.767399054912	64.363932	52.1185847009709	215.680368	91.4049093397404	118.819704	78.3208187140086	119.968736	99.7979114261825	86.55416	79.780500908218	123.67996	82.9520084989795	119.705168	89.9405233524873	90.175232	67.4893546817385	111.563848	83.8834732084858	115.472272	95.9378097452937	65.086908	96.4339391191424	92.228176	89.7856321371383	111.003176	122.113679069376	56.927164	113.489395315902	63.916808	82.2830751269068	122.780912	81.1534968862129	106.36592	70.5001872391184	129.729472	85.478748276795	114.492576	92.8964522711222	115.797136	96.0954933936732	86.1372	111.338276860542	62.76052	90.630446157568	94.419552	79.6207211587087	118.60308	71.7939861215457	122.039424	69.8767783414133	132.733104	87.6717177004749	124.602304	76.8262204487766	116.436432	80.7755307726631	106.346448	65.6432793368949	126.454488	118.252397887512	68.679304	103.636604453837	66.79054	62.7874658925599	234.96288	12.3444487350467	-513.859165330218	98.7142200366618	89.723648	99.1535912551727	64.611892	91.1497818578228	122.225256	56.4452287553545	222.903536	55.0333483250453	193.204352	67.0257539552529	161.70496	89.4244064109164	76.90288	73.2462005113909	120.529464	65.2837802295697	157.92672	74.7345175786612	132.616112	76.7232983305909	111.078536	71.013781753906	105.3726	62.9212681989151	151.650496	73.7347057614692	84.472368	81.9825155411799	104.562624	63.2993479993059	109.799472	109.922946745154	82.288656	165.226386582555	54.946312	148.234367643038	49.653744	151.996464161611	50.814492	65.6721486890653	144.079744	85.6955561878893	106.396592	116.102267086583	89.84676	72.3724887170806	118.276184	77.3812467116581	129.02976	81.574692421029	101.080128	125.19818780511	70.161592	60.8133578485387	165.718144	
118.599064592666	80.999168	105.741999482858	71.372336	113.761192130872	81.921664	92.3577542807703	84.909392	64.2697788735433	153.829024	82.6792666621444	104.882696	118.731936088011	66.752896	53.0496266375374	213.875216	92.5960561102292	118.768976	79.4733403802891	123.72804	100.571607222179	87.232352	80.5381384379317	122.731536	84.0387268006402	112.238024	91.6847139715687	86.26524	69.170513052948	105.206256	84.8842371529706	119.31176	96.7886846954308	66.42488	96.675367336727	94.296592	90.096352484274	113.393504	122.525921765468	58.54038	115.303602818146	65.113052	83.4801691402621	122.829528	83.0710386214405	104.18472	71.9680975184405	126.886728	86.2597413468937	113.337976	94.2405078426712	116.733648	97.4650077121645	86.023	113.617172219688	62.273456	92.3025522140679	96.473376	80.8170122587499	117.001008	75.1324215219404	115.552408	71.0654524231118	141.245008	88.593881405307	119.558928	79.2894021770808	116.3448	82.4997764565877	104.436952	65.6910633372261	116.308128	121.378977859821	67.581728	104.683013664958	66.445204	63.8122888147581	230.035424	12.3796375515808	-479.286012081133	105.197808997003	85.561056	101.362597628852	62.786884	92.4236144888106	118.56148	57.6217632140691	225.395184	56.0615356671924	188.97792	68.7453029515613	163.908832	91.6110022660763	77.829304	74.3416087509558	120.68532	66.4250397931699	159.425632	75.5700163835616	136.789536	78.2504039269034	112.6924	73.64378471043	106.536896	65.2781172038055	150.66616	76.2993387844545	78.391664	85.6838961812657	92.275544	65.5711308254653	105.310256	111.130961800666	82.994088	166.170825802783	57.010008	148.979229614001	49.97298	152.271003671619	51.396196	67.5427803915512	147.943872	87.6899431221626	105.41356	118.397966781904	90.178968	75.517827018144	118.458016	79.0184935405557	126.736448	84.1767994689581	100.933184	127.147135530146	70.888424	62.8221474844733	163.15976	
119.299745015071	83.021104	105.469350016581	73.633624	113.524531655179	86.255152	91.9918247615047	88.045096	64.9462866313934	156.748528	83.5572275021347	106.719808	119.623908831147	68.76284	53.8649318173163	212.588064	93.4573405117396	120.987152	80.1698214950064	118.456472	101.164427254244	87.669064	81.2862689055721	124.906224	84.0844857541173	107.068288	92.5734892723032	90.894312	70.8811944756633	97.97384	85.6921242663785	117.955984	97.7674147090566	66.750788	96.8987051357475	96.588928	90.1630724490488	115.067864	122.718422008884	60.014048	116.637931059367	65.762508	84.433433301518	121.96636	84.781378983633	104.3726	73.0761249973493	130.686736	87.2931689418653	115.012856	94.9504395317568	117.447048	98.3181066611274	87.135984	114.940522575331	62.78444	93.3871673091713	97.777184	81.8792452570438	121.32736	77.3396302224476	121.26276	71.9189776977282	137.498368	89.6861064133256	113.374416	80.9257750383887	114.928984	83.6491717347424	102.471472	67.1085321863101	106.427072	124.696061450402	65.999396	105.613725199143	66.670932	63.4719388347032	263.749136	12.6373746470635	-336.928971375137	109.466963037011	79.65108	106.559109441237	57.173896	94.0330435688165	119.53712	58.7464884477405	220.526336	57.0143202120881	192.956848	69.7455837269722	162.691712	93.157612261037	79.367648	75.5741233206905	119.657032	67.5068056118223	164.082	76.6647780292186	135.779024	79.2982555398188	115.5416	75.5066146534566	107.36832	67.4764512252921	146.691488	78.4839806470358	76.67784	88.1839763948815	92.866056	68.1371280905418	99.060472	111.756807860024	83.706824	166.924313762802	57.684112	149.948196770161	50.71642	152.61642692695	52.652992	68.8011160850338	146.849024	89.2591199550493	110.522296	120.302477162989	88.882128	77.3051831096437	120.131872	80.6210232504023	125.636832	85.9272641805738	99.928936	128.876141850535	71.447	64.1900346600536	164.755504	
119.793344856709	82.809888	105.194128385528	76.465928	113.230800385336	87.638256	91.5948516292357	91.449728	65.6867077101327	155.574192	84.1625601921308	108.117344	120.481903419698	69.026568	54.397952571049	219.215152	94.4155997885691	122.491072	80.7376943709138	123.910472	101.902261957352	91.120344	81.6047128524639	126.814808	84.5360712026014	104.839624	94.0386639620153	89.149288	72.2670441721117	102.7268	86.7324299152267	115.855832	98.562384155163	67.413832	96.9473346819583	98.943864	90.3579814324076	119.400272	122.53103767331	61.511556	117.22103797196	65.939148	85.1479195696687	124.055032	86.0638944470973	105.87128	73.7712205536927	132.459208	87.9171889063404	115.230392	95.9534772130604	118.764576	98.9571403940337	88.78332	115.841618687452	64.163852	94.360490092425	98.859232	83.0481804609846	125.664352	78.3864586537946	119.23544	72.7356400141709	135.712112	90.3219427038306	119.906632	82.0637376836017	115.677616	84.3741314031143	103.9256	68.0627840019966	111.765832	127.307121337055	65.106908	106.220770297181	69.442672	64.1157971529218	264.0252	12.9114308488529	-258.798238736377	110.456585671084	81.270048	108.666735574511	58.47482	92.145550686734	135.492608	59.2814241142002	223.870288	57.5610757572915	192.91328	70.6834575321362	162.43824	94.3733580217335	80.388976	76.3526650182815	125.072592	68.4151137329152	156.865392	77.9415807289258	136.068848	80.0576410047119	119.104176	77.4792305576906	101.567352	69.1963483875509	151.193056	80.8135163883911	77.71644	90.6255149908423	86.676304	70.0381212849855	104.665168	112.334983605891	84.090952	167.286846887695	58.882792	150.37276027764	52.243984	152.786672971253	54.038192	69.9370678942477	143.472336	90.048788752197	109.398048	121.974938490867	92.448	78.6293292731736	120.330536	82.1561508744283	126.2184	87.0820524782455	99.968584	130.126412883739	71.94116	65.0148895344713	165.079568	
120.661912321466	87.519896	104.884964127028	78.55428	112.842410609558	90.72144	91.3777523956116	94.068064	66.0963000817457	160.05936	84.5624607605539	110.007208	121.172437291549	70.554952	54.8047382987763	223.348352	95.3191401677702	122.910752	81.1323866609364	124.540768	102.203524980407	90.74084	82.3644038507421	127.974856	85.4475838715232	100.570456	94.8660057360784	93.40676	73.5974075847553	105.331568	87.5851664873841	117.974392	99.8513939794158	67.087852	96.9863150575445	102.297992	90.134274151154	121.55364	122.553775041497	63.581112	118.07103184908	67.819616	85.848358407536	127.118472	87.1478132102999	104.904936	74.3579086017751	132.328488	88.7561338436067	117.097064	96.4594689203603	122.230656	99.7787836151949	90.066064	116.599263322593	64.558544	95.0126901825973	102.073192	83.5749200167555	124.101808	79.544067806207	120.127792	73.520875024522	140.022928	90.8245522276126	123.229648	83.3832795300737	111.84184	85.2067667207086	107.659808	69.358899253808	108.849496	129.580758679807	65.678024	106.465623330849	69.739264	66.1688464971186	223.76448	13.1871218617953	-130.228700056034	108.540223436831	96.291808	109.721351554462	59.185316	93.1179071318398	135.379952	59.8085580212006	225.75216	57.9549153960071	196.560816	71.5663353279971	161.238864	95.4229007264078	81.286016	76.9468137653004	124.78768	69.1696248745032	163.826544	78.5776586039678	142.356704	80.9273311270241	116.389144	78.2683877640541	116.914176	70.2558173745245	150.186592	82.1923601332667	81.584096	93.8124839919713	88.385344	71.8261737083859	104.362928	112.883721565383	87.508528	167.558530015824	60.467728	150.467575102982	52.688804	153.012156609397	55.302192	70.8230436565241	149.871952	90.9874725761027	109.917008	123.252735950433	93.767448	79.9365432028314	118.154128	83.3100367828001	125.7912	88.1595692512178	100.482632	131.235840131877	72.215216	65.7946391547472	167.01224	
121.128994707456	84.964328	104.693295218636	81.07464	112.667098395406	93.237456	90.874716546176	96.903128	66.620908009249	162.45176	85.0441234838933	111.281176	121.878205200085	71.958856	55.2418890711752	224.338048	95.6467501162126	125.527856	81.4601742450677	126.310112	102.553850980754	92.32392	82.6821088331678	132.5294	85.6670989505172	109.244096	95.7055830563974	95.96084	74.4291263021945	105.139488	88.2640687743215	120.378848	101.487823684144	69.931424	96.9525855929241	104.422416	90.1266358165285	126.472112	122.088795862065	65.4187	118.84884879306	68.907768	86.1070883412257	127.613272	87.8132862391516	106.326104	75.0860941342586	136.047776	89.1974093167032	118.618096	97.0400391953148	122.725952	100.30760506124	91.15624	117.377520803082	65.880412	96.0199342770155	103.62676	84.5849068062113	123.10096	80.9365042340022	120.20304	74.2401858779849	143.018816	91.3627528380354	126.855176	84.1152380445908	119.752096	85.6436865667118	113.161296	70.4104030564885	103.513064	131.627406033774	63.822456	106.993862131835	71.58264	59.3209942402738	455.83248	13.1680459611728	-28.4110393129551	112.52354744244	82.624536	110.944792493205	59.539616	95.6413002532752	125.389904	60.7392624499581	224.872208	58.6781129183445	201.745488	72.5441061089024	165.476	96.2914255586004	82.66328	77.4788255483197	126.372672	69.4537709225698	160.608992	79.4845172178388	145.254304	81.7366322205161	114.461384	79.2806056577633	115.904536	71.1884615850055	155.257008	83.6840878057651	84.38896	96.6916387658361	87.303088	73.2553309858037	107.690416	113.446840910254	86.437288	167.842335003368	62.204132	150.656380524067	54.321572	153.353430295034	56.194632	71.717638302429	148.700896	91.8690429732928	111.87332	124.240020898839	95.093504	81.0813341639282	120.238976	84.3589328935666	126.181504	89.3107195699795	102.270232	132.539842408278	74.142336	66.3716496104949	170.164944	
122.143592919397	90.054592	103.932978942732	83.844632	112.275212749269	96.036528	90.6987506326884	101.493464	67.0100651712036	163.306432	85.5683121911706	112.945032	122.615535417836	72.502032	55.3717727342318	231.104128	96.5675211572432	126.554544	81.8646293925559	130.926272	103.064105944589	93.590424	83.0439029935943	133.303992	86.2449833738546	114.702168	96.4577067743257	96.390616	75.1731995706989	105.147088	89.0645236105031	124.147048	102.75834518589	67.180696	96.8897309807411	107.743912	90.1290445564709	127.014456	122.139898097067	66.529808	119.522343849625	69.421984	86.3197822097635	130.630512	88.7345688709664	106.908952	75.407344725036	137.108464	89.8490196563882	121.06392	97.7675568176078	124.424664	100.577653941031	93.028032	118.05647993344	67.451744	96.95026922354	101.931304	84.9215264367979	126.210752	81.5664785467713	121.856272	74.8203866707064	142.931216	92.6528782144149	125.464992	85.5662587226062	120.960584	86.4490441479088	115.584664	71.9841415738677	105.272112	133.769038743343	65.879084	107.322708424672	72.04984	66.0373747710026	273.759872	13.2372206515677	51.7184833043141	113.565437601634	84.639816	112.029166003771	61.393212	97.8117952095874	118.52324	61.2133721038027	227.27832	59.061734952231	199.348144	73.5014985235699	165.650608	97.1292833654502	84.217504	77.9376940600513	126.698536	69.5686870024744	169.412544	79.8096473720632	142.33808	82.3298288402421	122.380624	80.0471178664977	112.222224	72.2792086640919	157.687776	85.2798531485759	81.047744	99.2079548814232	85.764176	74.603983768983	106.305672	113.999366062635	89.528568	167.970957453033	63.36072	150.613946910688	56.270036	153.492924048864	57.907824	72.5295826149728	149.564704	92.5948695038269	113.039848	124.95549482142	96.210536	81.3114150137018	122.746072	85.5154904427003	125.831144	90.3603191180743	102.90004	133.420219093638	75.462672	67.2719570201569	170.071424	
122.395522958913	88.472072	103.187108001056	89.034032	112.043504756584	98.887104	89.7232749048844	103.498064	67.760689643917	166.241424	86.2155669037622	115.394496	123.257553430317	75.704248	55.9739932469572	231.912848	97.3705552636286	126.631736	81.9546480542952	135.608608	103.284345777194	96.642416	83.5093013932522	139.575872	86.2816615909119	117.311192	97.3981172171282	100.318368	76.0532138792537	108.420448	89.7836355119943	127.80592	103.901473476938	68.356176	96.8589786902676	111.200344	90.0726558833662	132.723856	122.205523825997	68.93536	119.822022362335	71.078848	86.9147836080895	133.156584	89.5080230824255	107.621128	75.8410387069276	139.682096	90.5177824981995	121.3288	98.497952138062	126.120016	101.174261165985	94.923112	118.36445048011	68.102912	97.768246044081	101.861832	85.7541404381096	127.80464	82.5035423331937	123.223216	75.654578076936	151.238688	92.9303238442939	133.3966	86.2505042910676	116.917704	86.6314120516267	117.33028	73.1207470824171	107.635032	135.475904551459	64.651736	107.452382477616	75.034296	70.5059213191582	218.635392	13.5143218219435	179.888869634608	114.219364310703	86.79296	112.664476492637	61.454108	98.5745699634259	120.02116	61.9574453723072	225.504336	59.5477852770878	205.5972	74.1723006230905	168.629536	98.0196644928129	86.873144	78.7258707174117	136.215152	70.2077491570909	172.807744	80.1266773388708	144.329664	82.9590002396972	116.275528	80.3311644385785	117.906592	73.2495613786261	163.531248	85.8662996121214	89.342208	100.620563618057	90.337032	75.6223265412477	109.513208	114.482783826581	90.416984	168.279034581117	65.236684	150.672765640017	57.048572	153.565484675092	59.239912	73.2808892087318	154.45672	93.134867787422	115.111976	125.843843796501	97.000528	82.6051286309984	124.194768	86.2827345104732	127.383744	90.9216052626349	103.806424	134.097735822202	76.190024	67.9648356831019	169.942608	
123.031188719157	93.087136	101.185523268665	98.231976	111.606272271768	102.613816	89.8504336364723	108.687304	68.2807714140656	168.929024	86.3294455912432	118.944784	123.764952012274	75.793976	56.0218696178468	240.01928	98.1477398245559	131.567824	82.4147173832842	136.41112	103.855352146655	98.311384	83.9759929807257	140.416896	86.9262304518863	114.087216	97.8439046367245	103.350568	77.4368679985865	107.919576	90.1434117309943	130.494016	104.86403153744	69.518168	96.982009168444	112.928	90.162425855141	134.943184	122.025443869953	71.142344	120.440436144466	73.23824	87.2890477938813	134.276	90.3995268673424	110.543552	76.2724092140076	140.55024	91.0148497884859	123.606208	98.8948044780625	130.841752	101.770960761498	95.589864	119.174796071454	69.814768	98.5702285471876	103.884216	86.2917370871899	131.2692	83.2465355767092	123.07988	76.3103593025978	149.307424	93.391082399756	133.107616	87.0983594344923	121.524488	87.029458103457	120.892088	74.2424809310863	109.077776	137.133373427189	65.878088	107.922854152551	76.388312	71.095934707338	221.517296	13.8294417962165	270.98151432846	114.944998994693	87.380656	113.018511526169	63.0754	98.8772256502826	121.35208	62.3163831508552	233.653808	59.6770010299539	208.103136	74.9077905351042	166.525504	98.9215706236756	86.382464	79.025570546404	138.737376	70.724505587142	178.116416	80.8109371181873	145.487088	83.2337529125314	118.887816	81.1486154574802	120.721272	74.0595659094464	165.821584	87.6407025091818	87.46088	102.385836040705	88.286992	77.1640906346135	112.12232	114.831980063947	92.19956	168.400963718022	67.095336	150.601697153577	58.087544	153.84802489653	60.629704	73.8401503064382	155.945616	93.8116242352367	119.094112	127.25914549018	97.712104	83.7910173850939	130.033256	87.0037719828328	128.279064	91.8896842403504	105.5478	134.688026322056	78.017224	68.3896194588351	176.643664	
