X_HT_V_300mN_1_Time_[s]	Y_HT_V_300mN_1_Fn_[mN]	X_HT_V_300mN_1_Time_[s]	Y_HT_V_300mN_1_Pd_[nm]	X_HT_V_300mN_2_Time_[s]	Y_HT_V_300mN_2_Fn_[mN]	X_HT_V_300mN_2_Time_[s]	Y_HT_V_300mN_2_Pd_[nm]	X_HT_V_300mN_3_Time_[s]	Y_HT_V_300mN_3_Fn_[mN]	X_HT_V_300mN_3_Time_[s]	Y_HT_V_300mN_3_Pd_[nm]	X_HT_V_300mN_4_Time_[s]	Y_HT_V_300mN_4_Fn_[mN]	X_HT_V_300mN_4_Time_[s]	Y_HT_V_300mN_4_Pd_[nm]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0999999999999943	0.00326845102561533	0.0999999999999943	0.443384458366947	0.0999999999999943	0.00238834437325739	0.0999999999999943	1.34764049116587	0.0999999999999943	0.000436277780512388	0.0999999999999943	2.45075964734717	0.100000000000023	0.000546342837843865	0.100000000000023	2.74405425817248	
0.200000000000017	0.00681881053961623	0.200000000000017	0.655133473005272	0.199999999999989	0.00628957831158682	0.199999999999989	1.38568984548294	0.199999999999989	0.00378090501956177	0.199999999999989	3.1474824684869	0.200000000000017	0.00456446394087514	0.200000000000017	2.97967843871537	
0.300000000000011	0.0111316795113149	0.300000000000011	0.89069732881965	0.299999999999983	0.0102364671945318	0.299999999999983	1.69361708686689	0.299999999999983	0.00884527774364739	0.299999999999983	3.33664653601803	0.300000000000011	0.00972301318220653	0.300000000000011	3.23374708076192	
0.400000000000006	0.0169665344801282	0.400000000000006	0.999910800337619	0.400000000000006	0.0148533182921972	0.400000000000006	2.21021571401986	0.400000000000006	0.0138029021653785	0.400000000000006	3.48790122946469	0.400000000000006	0.0137796862888135	0.400000000000006	3.56344141250194	
0.5	0.0226053229013575	0.5	1.03847756632657	0.5	0.0206541422503329	0.5	2.48808092228503	0.5	0.0189092740190796	0.5	3.78350656690815	0.5	0.0180856395084411	0.5	3.59639291588174	
0.599999999999994	0.0276007003345495	0.599999999999994	1.30824787555334	0.599999999999994	0.0272780183288905	0.599999999999994	2.53973242069187	0.599999999999994	0.0248383518729706	0.599999999999994	3.91533078368682	0.600000000000023	0.0240392628583096	0.600000000000023	3.66272176941121	
0.700000000000017	0.0356323273483815	0.700000000000017	1.7257033399849	0.699999999999989	0.034401492312191	0.699999999999989	2.47105577449324	0.699999999999989	0.0304701314479244	0.699999999999989	4.07001943676567	0.700000000000017	0.0305883480194532	0.700000000000017	3.77400422060786	
0.800000000000011	0.0738599576512987	0.800000000000011	2.78875388522762	0.799999999999983	0.0533618259160084	0.799999999999983	2.8501786077357	0.799999999999983	0.0382243017656853	0.799999999999983	4.21360462609661	0.800000000000011	0.0402622479340413	0.800000000000011	4.11484539153194	
0.900000000000006	0.151547972547782	0.900000000000006	3.799414636457	0.900000000000006	0.11173110498375	0.900000000000006	4.00992032816828	0.900000000000006	0.0700440636299842	0.900000000000006	4.83541944901813	0.900000000000006	0.0776826683883497	0.900000000000006	4.71639870938621	
1	0.241243127178715	1	5.05028900619593	1	0.196304261520596	1	5.57281970283015	1	0.143388805686925	1	6.10540874144093	1	0.153022856969192	1	5.88292628662989	
1.09999999999999	0.335398800631886	1.09999999999999	6.31830841923795	1.09999999999999	0.28930506273861	1.09999999999999	6.8019946462442	1.09999999999999	0.233327656528294	1.09999999999999	7.44734974679289	1.10000000000002	0.243278791254329	1.10000000000002	7.03266772539121	
1.20000000000002	0.433203915762353	1.20000000000002	7.29074200900657	1.19999999999999	0.385929560945816	1.19999999999999	7.66698507829976	1.19999999999999	0.327753930734249	1.19999999999999	8.69969621377583	1.20000000000002	0.339231518014045	1.20000000000002	7.92464381561675	
1.30000000000001	0.532537524461153	1.30000000000001	8.23865689505182	1.29999999999998	0.483119923756168	1.29999999999998	8.61564271902784	1.29999999999998	0.425114370042533	1.29999999999998	9.93884003440053	1.30000000000001	0.436887018009347	1.30000000000001	8.86255312531808	
1.40000000000001	0.63167434761358	1.40000000000001	9.09117140937249	1.40000000000001	0.582014755738606	1.40000000000001	9.72702276760552	1.40000000000001	0.523305835788108	1.40000000000001	10.8735432148285	1.40000000000001	0.534570090720029	1.40000000000001	9.95930454112354	
1.5	0.731628317989393	1.5	9.84663345026387	1.5	0.681693004356165	1.5	10.3266128795689	1.5	0.622506531869519	1.5	11.7296941453519	1.5	0.633938991339305	1.5	10.899205689272	
1.59999999999999	0.830738546336317	1.59999999999999	10.5819650506548	1.59999999999999	0.781510456898508	1.59999999999999	11.0016658563275	1.59999999999999	0.722590917077191	1.59999999999999	12.496849374988	1.60000000000002	0.733565143637453	1.60000000000002	11.5625423072302	
1.70000000000002	0.930751757728839	1.70000000000002	11.3083692256989	1.69999999999999	0.880502475095309	1.69999999999999	11.8320182370638	1.69999999999999	0.82289862187156	1.69999999999999	13.2676511435027	1.70000000000002	0.832908190371163	1.70000000000002	12.2956128714672	
1.80000000000001	1.0309843058234	1.80000000000001	11.9048550027074	1.79999999999998	0.980740273277948	1.79999999999998	12.6469541429739	1.79999999999998	0.922180196390185	1.79999999999998	14.2026812148972	1.80000000000001	0.933065198818291	1.80000000000001	13.0059236046547	
1.90000000000001	1.13097080595879	1.90000000000001	12.5821624006364	1.90000000000001	1.08154186580378	1.90000000000001	13.3933222578444	1.90000000000001	1.02076563309526	1.90000000000001	14.8963725471686	1.90000000000001	1.03304652945126	1.90000000000001	13.5986549442078	
