Group	Measurement	Parameter	Unit	Value
H_300mN_NEW	7	Fm (O&P)	mN	300.032
H_300mN_NEW	7	S (O&P)	mN/nm	0.694
H_300mN_NEW	7	Poisson's ratio		0.340
H_300mN_NEW	7	hc (O&P)	nm	1335.515
H_300mN_NEW	7	hr (O&P)	nm	1262.403
H_300mN_NEW	7	hp (O&P)	nm	1219.647
H_300mN_NEW	7	Epsilon (O&P)		0.831
H_300mN_NEW	7	Ap (O&P)	nm©÷	78309520.000
H_300mN_NEW	7	m (O&P)		1.099
H_300mN_NEW	7	CIT	%	10.707
H_300mN_NEW	7	RIT	%	-0.132
H_300mN_NEW	7	Welast	pJ	72014.242
H_300mN_NEW	7	Wplast	pJ	203902.031
H_300mN_NEW	7	Wtotal	pJ	275916.281
H_300mN_NEW	7	nit	%	26.100
H_300mN_NEW	7	X	mm	7.571
H_300mN_NEW	7	Y	mm	42.843
H_300mN_NEW	7	F/S©÷(O&P)	nm©÷/mN	622.913
H_300mN_NEW	8	HIT (O&P)	MPa	3666.128
H_300mN_NEW	8	HVIT (O&P)	Vickers	373.713
H_300mN_NEW	8	EIT (O&P)	GPa	63.694
H_300mN_NEW	8	E* (O&P)	GPa	72.020
H_300mN_NEW	8	Er (O&P)	GPa	67.764
H_300mN_NEW	8	hm (O&P)	nm	1758.110
H_300mN_NEW	8	Fm (O&P)	mN	300.024
H_300mN_NEW	8	S (O&P)	mN/nm	0.692
H_300mN_NEW	8	Poisson's ratio		0.340
H_300mN_NEW	8	hc (O&P)	nm	1400.549
H_300mN_NEW	8	hr (O&P)	nm	1324.369
H_300mN_NEW	8	hp (O&P)	nm	1275.410
H_300mN_NEW	8	Epsilon (O&P)		0.824
H_300mN_NEW	8	Ap (O&P)	nm©÷	81836760.000
H_300mN_NEW	8	m (O&P)		1.113
H_300mN_NEW	8	CIT	%	10.618
H_300mN_NEW	8	RIT	%	-0.129
H_300mN_NEW	8	Welast	pJ	72578.914
H_300mN_NEW	8	Wplast	pJ	213456.516
H_300mN_NEW	8	Wtotal	pJ	286035.438
H_300mN_NEW	8	nit	%	25.374
H_300mN_NEW	8	X	mm	7.771
H_300mN_NEW	8	Y	mm	42.843
H_300mN_NEW	8	F/S©÷(O&P)	nm©÷/mN	627.055
H_300mN_NEW	10	HIT (O&P)	MPa	3526.132
H_300mN_NEW	10	HVIT (O&P)	Vickers	359.443
H_300mN_NEW	10	EIT (O&P)	GPa	72.604
H_300mN_NEW	10	E* (O&P)	GPa	82.094
H_300mN_NEW	10	Er (O&P)	GPa	76.609
H_300mN_NEW	10	hm (O&P)	nm	1737.488
H_300mN_NEW	10	Fm (O&P)	mN	299.409
H_300mN_NEW	10	S (O&P)	mN/nm	0.797
H_300mN_NEW	10	Poisson's ratio		0.340
H_300mN_NEW	10	hc (O&P)	nm	1457.643
H_300mN_NEW	10	hr (O&P)	nm	1361.610
H_300mN_NEW	10	hp (O&P)	nm	1144.193
H_300mN_NEW	10	Epsilon (O&P)		0.745
H_300mN_NEW	10	Ap (O&P)	nm©÷	84911392.000
H_300mN_NEW	10	m (O&P)		1.578
H_300mN_NEW	10	CIT	%	15.475
H_300mN_NEW	10	RIT	%	-0.109
H_300mN_NEW	10	Welast	pJ	75258.375
H_300mN_NEW	10	Wplast	pJ	217623.813
H_300mN_NEW	10	Wtotal	pJ	292882.188
H_300mN_NEW	10	nit	%	25.696
H_300mN_NEW	10	X	mm	11.107
H_300mN_NEW	10	Y	mm	42.068
H_300mN_NEW	10	F/S©÷(O&P)	nm©÷/mN	471.879
H_300mN_NEW	11	HIT (O&P)	MPa	3802.678
H_300mN_NEW	11	HVIT (O&P)	Vickers	387.633
H_300mN_NEW	11	EIT (O&P)	GPa	67.682
H_300mN_NEW	11	E* (O&P)	GPa	76.528
H_300mN_NEW	11	Er (O&P)	GPa	71.740
H_300mN_NEW	11	hm (O&P)	nm	1686.947
H_300mN_NEW	11	Fm (O&P)	mN	300.053
H_300mN_NEW	11	S (O&P)	mN/nm	0.719
H_300mN_NEW	11	Poisson's ratio		0.340
H_300mN_NEW	11	hc (O&P)	nm	1346.471
H_300mN_NEW	11	hr (O&P)	nm	1269.669
H_300mN_NEW	11	hp (O&P)	nm	1212.810
H_300mN_NEW	11	Epsilon (O&P)		0.816
H_300mN_NEW	11	Ap (O&P)	nm©÷	78905592.000
H_300mN_NEW	11	m (O&P)		1.136
H_300mN_NEW	11	CIT	%	11.106
H_300mN_NEW	11	RIT	%	-0.134
H_300mN_NEW	11	Welast	pJ	71552.820
H_300mN_NEW	11	Wplast	pJ	203179.469
H_300mN_NEW	11	Wtotal	pJ	274732.281
H_300mN_NEW	11	nit	%	26.045
H_300mN_NEW	11	X	mm	10.907
H_300mN_NEW	11	Y	mm	42.268
H_300mN_NEW	11	F/S©÷(O&P)	nm©÷/mN	580.302
H_300mN_NEW	12	HIT (O&P)	MPa	3765.948
H_300mN_NEW	12	HVIT (O&P)	Vickers	383.889
H_300mN_NEW	12	EIT (O&P)	GPa	67.986
H_300mN_NEW	12	E* (O&P)	GPa	76.872
H_300mN_NEW	12	Er (O&P)	GPa	72.042
