Group	Measurement	Parameter	Unit	Value
Y_HT_300mN	3	Y	µm	38090.598
Y_HT_300mN	3	G (Creep)	GPa	12.130
Y_HT_300mN	3	E (Creep)	GPa	31.539
Y_HT_300mN	3	K (Creep)	GPa	26.283
Y_HT_300mN	3	F/S²(O&P)	nm²/mN	375.442
Y_HT_300mN	4	HIT (O&P)	GPa	3.575
Y_HT_300mN	4	HVIT (O&P)	Vickers	364.408
Y_HT_300mN	4	EIT (O&P)	GPa	88.858
Y_HT_300mN	4	E* (O&P)	GPa	97.646
Y_HT_300mN	4	Er (O&P)	GPa	89.983
Y_HT_300mN	4	hm (O&P)	nm	1692.651
Y_HT_300mN	4	Fm (O&P)	mN	299.997
Y_HT_300mN	4	S (O&P)	mN/nm	0.930
Y_HT_300mN	4	Poisson's ratio		0.300
Y_HT_300mN	4	hc (O&P)	nm	1439.171
Y_HT_300mN	4	hr (O&P)	nm	1370.120
Y_HT_300mN	4	hp (O&P)	nm	1294.725
Y_HT_300mN	4	Epsilon (O&P)		0.786
Y_HT_300mN	4	Ap (O&P)	nm²	83918864.000
Y_HT_300mN	4	m (O&P)		1.234
Y_HT_300mN	4	CIT	%	11.542
Y_HT_300mN	4	RIT	%	-0.107
Y_HT_300mN	4	Welast	pJ	57077.797
Y_HT_300mN	4	Wplast	pJ	227684.375
Y_HT_300mN	4	Wtotal	pJ	284762.156
Y_HT_300mN	4	nit	%	20.044
Y_HT_300mN	4	X	µm	11789.299
Y_HT_300mN	4	Y	µm	38090.598
Y_HT_300mN	4	G (Creep)	GPa	11.093
Y_HT_300mN	4	E (Creep)	GPa	28.842
Y_HT_300mN	4	K (Creep)	GPa	24.035
Y_HT_300mN	4	F/S²(O&P)	nm²/mN	346.757
Y_HT_300mN	5	HIT (O&P)	GPa	3.484
Y_HT_300mN	5	HVIT (O&P)	Vickers	355.193
Y_HT_300mN	5	EIT (O&P)	GPa	87.208
Y_HT_300mN	5	E* (O&P)	GPa	95.833
Y_HT_300mN	5	Er (O&P)	GPa	88.441
Y_HT_300mN	5	hm (O&P)	nm	1751.561
