Group	Measurement	Parameter	Unit	Value
HT_V_300mN	3	hm (O&P)	nm	1776.789
HT_V_300mN	3	Fm (O&P)	mN	299.992
HT_V_300mN	3	S (O&P)	mN/nm	0.959
HT_V_300mN	3	Poisson's ratio		0.300
HT_V_300mN	3	hc (O&P)	nm	1540.763
HT_V_300mN	3	hr (O&P)	nm	1463.956
HT_V_300mN	3	hp (O&P)	nm	1323.116
HT_V_300mN	3	Epsilon (O&P)		0.754
HT_V_300mN	3	Ap (O&P)	nm²	89350992.000
HT_V_300mN	3	m (O&P)		1.450
HT_V_300mN	3	CIT	%	16.785
HT_V_300mN	3	RIT	%	-0.111
HT_V_300mN	3	Welast	pJ	62308.707
HT_V_300mN	3	Wplast	pJ	246310.922
HT_V_300mN	3	Wtotal	pJ	308619.625
HT_V_300mN	3	nit	%	20.189
HT_V_300mN	3	X	µm	12955.433
HT_V_300mN	3	Y	µm	37069.965
HT_V_300mN	3	G (Creep)	GPa	6.628
HT_V_300mN	3	E (Creep)	GPa	17.233
HT_V_300mN	3	K (Creep)	GPa	14.361
HT_V_300mN	3	F/S²(O&P)	nm²/mN	326.223
HT_V_300mN	4	HIT (O&P)	GPa	3.562
HT_V_300mN	4	HVIT (O&P)	Vickers	363.114
HT_V_300mN	4	EIT (O&P)	GPa	89.133
HT_V_300mN	4	E* (O&P)	GPa	97.948
HT_V_300mN	4	Er (O&P)	GPa	90.240
HT_V_300mN	4	hm (O&P)	nm	1690.380
HT_V_300mN	4	Fm (O&P)	mN	300.055
HT_V_300mN	4	S (O&P)	mN/nm	0.935
HT_V_300mN	4	Poisson's ratio		0.300
HT_V_300mN	4	hc (O&P)	nm	1445.038
HT_V_300mN	4	hr (O&P)	nm	1369.306
HT_V_300mN	4	hp (O&P)	nm	1253.546
HT_V_300mN	4	Epsilon (O&P)		0.764
HT_V_300mN	4	Ap (O&P)	nm²	84234336.000
HT_V_300mN	4	m (O&P)		1.361
HT_V_300mN	4	CIT	%	13.774
HT_V_300mN	4	RIT	%	-0.109
HT_V_300mN	4	Welast	pJ	61194.492
HT_V_300mN	4	Wplast	pJ	225147.688
HT_V_300mN	4	Wtotal	pJ	286342.188
HT_V_300mN	4	nit	%	21.371
HT_V_300mN	4	X	µm	13155.433
HT_V_300mN	4	Y	µm	37069.965
HT_V_300mN	4	G (Creep)	GPa	10.456
HT_V_300mN	4	E (Creep)	GPa	27.185
HT_V_300mN	4	K (Creep)	GPa	22.654
HT_V_300mN	4	F/S²(O&P)	nm²/mN	343.565
HT_V_200mN	1	HIT (O&P)	GPa	3.535
HT_V_200mN	1	HVIT (O&P)	Vickers	360.387
HT_V_200mN	1	EIT (O&P)	GPa	90.458
HT_V_200mN	1	E* (O&P)	GPa	99.404
HT_V_200mN	1	Er (O&P)	GPa	91.474
HT_V_200mN	1	hm (O&P)	nm	1159.222
HT_V_200mN	1	Fm (O&P)	mN	200.028
HT_V_200mN	1	S (O&P)	mN/nm	0.776
HT_V_200mN	1	Poisson's ratio		0.300
HT_V_200mN	1	hc (O&P)	nm	945.139
HT_V_200mN	1	hr (O&P)	nm	901.583
HT_V_200mN	1	hp (O&P)	nm	876.112
HT_V_200mN	1	Epsilon (O&P)		0.831
HT_V_200mN	1	Ap (O&P)	nm²	56578484.000
HT_V_200mN	1	m (O&P)		1.099
HT_V_200mN	1	CIT	%	8.024
HT_V_200mN	1	RIT	%	-0.169
HT_V_200mN	1	Welast	pJ	27920.729
HT_V_200mN	1	Wplast	pJ	88088.336
HT_V_200mN	1	Wtotal	pJ	116009.063
HT_V_200mN	1	nit	%	24.068
HT_V_200mN	1	X	µm	11851.832
HT_V_200mN	1	Y	µm	37371.465
HT_V_200mN	1	G (Creep)	GPa	12.915
HT_V_200mN	1	E (Creep)	GPa	33.578
HT_V_200mN	1	K (Creep)	GPa	27.982
HT_V_200mN	1	F/S²(O&P)	nm²/mN	331.843
HT_V_200mN	2	HIT (O&P)	GPa	3.824
HT_V_200mN	2	HVIT (O&P)	Vickers	389.855
HT_V_200mN	2	EIT (O&P)	GPa	94.113
HT_V_200mN	2	E* (O&P)	GPa	103.421
HT_V_200mN	2	Er (O&P)	GPa	94.864
HT_V_200mN	2	hm (O&P)	nm	1076.396
HT_V_200mN	2	Fm (O&P)	mN	199.895
HT_V_200mN	2	S (O&P)	mN/nm	0.774
HT_V_200mN	2	Poisson's ratio		0.300
HT_V_200mN	2	hc (O&P)	nm	869.675
HT_V_200mN	2	hr (O&P)	nm	818.093
HT_V_200mN	2	hp (O&P)	nm	771.673
HT_V_200mN	2	Epsilon (O&P)		0.800
HT_V_200mN	2	Ap (O&P)	nm²	52267220.000
HT_V_200mN	2	m (O&P)		1.180
HT_V_200mN	2	CIT	%	8.751
HT_V_200mN	2	RIT	%	-0.164
HT_V_200mN	2	Welast	pJ	29536.553
HT_V_200mN	2	Wplast	pJ	86014.758
HT_V_200mN	2	Wtotal	pJ	115551.313
HT_V_200mN	2	nit	%	25.561
HT_V_200mN	2	X	µm	12051.833
HT_V_200mN	2	Y	µm	37371.465
HT_V_200mN	2	G (Creep)	GPa	12.267
HT_V_200mN	2	E (Creep)	GPa	31.894
HT_V_200mN	2	K (Creep)	GPa	26.578
HT_V_200mN	2	F/S²(O&P)	nm²/mN	333.776
HT_V_200mN	3	HIT (O&P)	GPa	3.872
HT_V_200mN	3	HVIT (O&P)	Vickers	394.698
HT_V_200mN	3	EIT (O&P)	GPa	96.569
HT_V_200mN	3	E* (O&P)	GPa	106.120
HT_V_200mN	3	Er (O&P)	GPa	97.131
HT_V_200mN	3	hm (O&P)	nm	1057.922
HT_V_200mN	3	Fm (O&P)	mN	200.029
HT_V_200mN	3	S (O&P)	mN/nm	0.788
HT_V_200mN	3	Poisson's ratio		0.300
HT_V_200mN	3	hc (O&P)	nm	859.107
HT_V_200mN	3	hr (O&P)	nm	803.999
HT_V_200mN	3	hp (O&P)	nm	741.089
HT_V_200mN	3	Epsilon (O&P)		0.783
HT_V_200mN	3	Ap (O&P)	nm²	51660600.000
HT_V_200mN	3	m (O&P)		1.248
HT_V_200mN	3	CIT	%	9.457
HT_V_200mN	3	RIT	%	-0.190
HT_V_200mN	3	Welast	pJ	29510.109
HT_V_200mN	3	Wplast	pJ	84152.047
HT_V_200mN	3	Wtotal	pJ	113662.156
HT_V_200mN	3	nit	%	25.963
HT_V_200mN	3	X	µm	11851.832
HT_V_200mN	3	Y	µm	37571.465
HT_V_200mN	3	G (Creep)	GPa	4.109
HT_V_200mN	3	E (Creep)	GPa	10.683
HT_V_200mN	3	K (Creep)	GPa	8.902
HT_V_200mN	3	F/S²(O&P)	nm²/mN	322.339
HT_V_200mN	4	HIT (O&P)	GPa	3.892
HT_V_200mN	4	HVIT (O&P)	Vickers	396.771
HT_V_200mN	4	EIT (O&P)	GPa	96.997
HT_V_200mN	4	E* (O&P)	GPa	106.590
HT_V_200mN	4	Er (O&P)	GPa	97.524
HT_V_200mN	4	hm (O&P)	nm	1063.108
HT_V_200mN	4	Fm (O&P)	mN	199.999
HT_V_200mN	4	S (O&P)	mN/nm	0.789
HT_V_200mN	4	Poisson's ratio		0.300
HT_V_200mN	4	hc (O&P)	nm	854.273
HT_V_200mN	4	hr (O&P)	nm	809.566
HT_V_200mN	4	hp (O&P)	nm	780.457
HT_V_200mN	4	Epsilon (O&P)		0.824
HT_V_200mN	4	Ap (O&P)	nm²	51382900.000
HT_V_200mN	4	m (O&P)		1.115
HT_V_200mN	4	CIT	%	7.790
HT_V_200mN	4	RIT	%	-0.201
HT_V_200mN	4	Welast	pJ	27593.426
HT_V_200mN	4	Wplast	pJ	84798.758
HT_V_200mN	4	Wtotal	pJ	112392.180
HT_V_200mN	4	nit	%	24.551
HT_V_200mN	4	X	µm	12051.833
HT_V_200mN	4	Y	µm	37571.465
HT_V_200mN	4	G (Creep)	GPa	14.650
HT_V_200mN	4	E (Creep)	GPa	38.089
HT_V_200mN	4	K (Creep)	GPa	31.741
HT_V_200mN	4	F/S²(O&P)	nm²/mN	321.419
