Group	Measurement	Parameter	Unit	Value
Y_HT_300mN	5	hr (O&P)	nm	1427.568
Y_HT_300mN	5	hp (O&P)	nm	1396.964
Y_HT_300mN	5	Epsilon (O&P)		0.838
Y_HT_300mN	5	Ap (O&P)	nm²	86104416.000
Y_HT_300mN	5	m (O&P)		1.094
Y_HT_300mN	5	CIT	%	13.858
Y_HT_300mN	5	RIT	%	-0.127
Y_HT_300mN	5	Welast	pJ	54638.195
Y_HT_300mN	5	Wplast	pJ	242805.469
Y_HT_300mN	5	Wtotal	pJ	297443.656
Y_HT_300mN	5	nit	%	18.369
Y_HT_300mN	5	X	µm	10863.532
Y_HT_300mN	5	Y	µm	37422.164
Y_HT_300mN	5	G (Creep)	GPa	10.395
Y_HT_300mN	5	E (Creep)	GPa	27.026
Y_HT_300mN	5	K (Creep)	GPa	22.522
Y_HT_300mN	5	F/S²(O&P)	nm²/mN	349.875
Y_HT_300mN	6	hm (O&P)	nm	1919.645
Y_HT_300mN	6	Fm (O&P)	mN	-153.969
Y_HT_300mN	6	Poisson's ratio		0.300
Y_HT_300mN	6	hr (O&P)	nm	0.000
Y_HT_300mN	6	hp (O&P)	nm	0.000
Y_HT_300mN	6	CIT	%	20.945
Y_HT_300mN	6	RIT	%	-94.329
Y_HT_300mN	6	Welast	pJ	0.000
Y_HT_300mN	6	Wplast	pJ	0.000
Y_HT_300mN	6	Wtotal	pJ	0.000
Y_HT_300mN	6	X	µm	11063.532
Y_HT_300mN	6	Y	µm	37422.164
Y_HT_300mN	6	G (Creep)	GPa	-1.115
Y_HT_300mN	6	E (Creep)	GPa	-2.898
Y_HT_300mN	6	K (Creep)	GPa	-2.415
Y_HT_300mN	7	HIT (O&P)	GPa	3.635
Y_HT_300mN	7	HVIT (O&P)	Vickers	370.540
Y_HT_300mN	7	EIT (O&P)	GPa	93.473
Y_HT_300mN	7	E* (O&P)	GPa	102.718
Y_HT_300mN	7	Er (O&P)	GPa	94.273
Y_HT_300mN	7	hm (O&P)	nm	1646.398
Y_HT_300mN	7	Fm (O&P)	mN	299.743
Y_HT_300mN	7	S (O&P)	mN/nm	0.966
Y_HT_300mN	7	Poisson's ratio		0.300
