X_Mg_1299_0.005_1_Pd_[nm]	Y_Mg_1299_0.005_1_Hardness (H)_[MPa]	X_Mg_1299_0.005_2_Pd_[nm]	Y_Mg_1299_0.005_2_Hardness (H)_[MPa]	X_Mg_1299_0.005_3_Pd_[nm]	Y_Mg_1299_0.005_3_Hardness (H)_[MPa]	X_Mg_1299_0.02_1_Pd_[nm]	Y_Mg_1299_0.02_1_Hardness (H)_[MPa]	X_Mg_1299_0.02_2_Pd_[nm]	Y_Mg_1299_0.02_2_Hardness (H)_[MPa]	X_Mg_1299_0.02_3_Pd_[nm]	Y_Mg_1299_0.02_3_Hardness (H)_[MPa]	X_Mg_1299_0.05_1_Pd_[nm]	Y_Mg_1299_0.05_1_Hardness (H)_[MPa]	X_Mg_1299_0.05_2_Pd_[nm]	Y_Mg_1299_0.05_2_Hardness (H)_[MPa]	X_Mg_1299_0.05_3_Pd_[nm]	Y_Mg_1299_0.05_3_Hardness (H)_[MPa]	X_Mg_1299_0.2_1_Pd_[nm]	Y_Mg_1299_0.2_1_Hardness (H)_[MPa]	X_Mg_1299_0.2_2_Pd_[nm]	Y_Mg_1299_0.2_2_Hardness (H)_[MPa]	X_Mg_1299_0.2_3_Pd_[nm]	Y_Mg_1299_0.2_3_Hardness (H)_[MPa]	X_Mg_1527_0.005_1_Pd_[nm]	Y_Mg_1527_0.005_1_Hardness (H)_[MPa]	X_Mg_1527_0.005_2_Pd_[nm]	Y_Mg_1527_0.005_2_Hardness (H)_[MPa]	X_Mg_1527_0.005_3_Pd_[nm]	Y_Mg_1527_0.005_3_Hardness (H)_[MPa]	X_Mg_1527_0.005_4_Pd_[nm]	Y_Mg_1527_0.005_4_Hardness (H)_[MPa]	X_Mg_1527_0.02_1_Pd_[nm]	Y_Mg_1527_0.02_1_Hardness (H)_[MPa]	X_Mg_1527_0.02_2_Pd_[nm]	Y_Mg_1527_0.02_2_Hardness (H)_[MPa]	X_Mg_1527_0.02_3_Pd_[nm]	Y_Mg_1527_0.02_3_Hardness (H)_[MPa]	X_Mg_1527_0.02_4_Pd_[nm]	Y_Mg_1527_0.02_4_Hardness (H)_[MPa]	X_Mg_1527_0.05_1_Pd_[nm]	Y_Mg_1527_0.05_1_Hardness (H)_[MPa]	X_Mg_1527_0.05_2_Pd_[nm]	Y_Mg_1527_0.05_2_Hardness (H)_[MPa]	X_Mg_1527_0.05_3_Pd_[nm]	Y_Mg_1527_0.05_3_Hardness (H)_[MPa]	X_Mg_1527_0.05_4_Pd_[nm]	Y_Mg_1527_0.05_4_Hardness (H)_[MPa]	X_Mg_1527_0.2_1_Pd_[nm]	Y_Mg_1527_0.2_1_Hardness (H)_[MPa]	X_Mg_1527_0.2_2_Pd_[nm]	Y_Mg_1527_0.2_2_Hardness (H)_[MPa]	X_Mg_1527_0.2_3_Pd_[nm]	Y_Mg_1527_0.2_3_Hardness (H)_[MPa]	X_Mg_1527_0.2_4_Pd_[nm]	Y_Mg_1527_0.2_4_Hardness (H)_[MPa]	X_Mg_1256_0.005_1_Pd_[nm]	Y_Mg_1256_0.005_1_Hardness (H)_[MPa]	X_Mg_1256_0.005_2_Pd_[nm]	Y_Mg_1256_0.005_2_Hardness (H)_[MPa]	X_Mg_1256_0.005_3_Pd_[nm]	Y_Mg_1256_0.005_3_Hardness (H)_[MPa]	X_Mg_1256_0.02_1_Pd_[nm]	Y_Mg_1256_0.02_1_Hardness (H)_[MPa]	X_Mg_1256_0.02_2_Pd_[nm]	Y_Mg_1256_0.02_2_Hardness (H)_[MPa]	X_Mg_1256_0.02_3_Pd_[nm]	Y_Mg_1256_0.02_3_Hardness (H)_[MPa]	X_Mg_1256_0.05_1_Pd_[nm]	Y_Mg_1256_0.05_1_Hardness (H)_[MPa]	X_Mg_1256_0.05_2_Pd_[nm]	Y_Mg_1256_0.05_2_Hardness (H)_[MPa]	X_Mg_1256_0.05_3_Pd_[nm]	Y_Mg_1256_0.05_3_Hardness (H)_[MPa]	X_Mg_1256_0.2_1_Pd_[nm]	Y_Mg_1256_0.2_1_Hardness (H)_[MPa]	X_Mg_1256_0.2_2_Pd_[nm]	Y_Mg_1256_0.2_2_Hardness (H)_[MPa]	X_Mg_1256_0.2_3_Pd_[nm]	Y_Mg_1256_0.2_3_Hardness (H)_[MPa]	
555.822468672003	730.208512	239.431478753828	700.76448	225.768281571219	719.962624	265.676199670952	610.463488	269.451824923597	615.382592	248.867543395011	688.804032	218.169822605229	692.599808	244.692905752388	729.983232	238.431574566078	722.952256	217.761146833772	704.933312	225.961918683045	786.662464	259.566782525844	640.966336	253.521939506388	661.835456	216.275274033581	861.118592	301.9819502156	689.295616	189.007442602301	1041.52864	231.260578122011	845.606656	248.375762542828	723.27104	244.555060457752	700.898048	268.046683991327	799.45376	225.861007400858	864.200768	229.060766171592	807.411008	210.300675270969	988.865344	257.507004341749	659.186176	262.496975585862	708.557312	258.137227344483	666.078784	223.822190228061	923.776256	220.904516931401	862.222592	262.064084517284	577.951552	254.129169345542	646.27136	373.722922742131	337.429568	366.623406899304	359.726144	344.319356106155	370.761408	628.434822412606	309.106688	224.465188789545	857.969536	292.97701449696	531.152192	304.162975415554	479.519776	295.589197041167	545.204096	354.413894930044	469.825216	303.463772922082	498.166336	
564.306292333499	730.326976	243.710566181562	700.252544	229.023562152896	723.855936	270.6243341576	604.880384	273.210823475755	617.154304	252.809719869629	688.099328	222.448640026716	689.394816	249.638709658796	731.807872	242.382647035999	724.96832	220.586307463619	692.758336	229.500208444379	799.028736	262.265679707976	639.4752	255.735763359952	667.518016	218.42534799109	869.955648	303.831919334745	699.980224	193.981540321247	1019.278592	234.049344751903	847.105472	250.632616865687	730.384832	247.107528988757	708.95488	271.228778669151	802.195008	227.946421967584	878.144256	231.952206229706	820.063872	214.079299014044	967.774272	260.706322575975	666.469632	265.72812613555	712.484736	260.714991197596	668.43968	236.512796486455	850.254784	224.932782766318	859.29248	264.993197552313	579.702976	256.72688523924	647.121856	378.191810350809	339.602432	370.832179015918	362.766144	348.362429652104	374.532384	635.926728386927	310.355648	227.473285757315	860.255232	296.596235078186	533.714272	307.461144357974	484.771968	299.828494074573	534.903552	360.472408792123	464.041568	306.77865383012	505.067776	
571.98134780857	734.588224	247.546957050688	697.920192	232.374524422076	723.413568	273.712892987043	605.90944	276.817026913694	619.050944	255.886256315643	691.965504	225.819824342729	686.740032	255.027494340916	713.82656	251.717445123617	690.453888	224.078966169172	704.359232	232.603404454592	804.82656	264.600352673456	637.924672	259.490129173342	671.321664	220.775226571546	880.667264	307.135261028428	702.887808	197.914678692011	998.110784	236.522374602804	861.870144	253.780946551753	735.248448	250.085385256837	710.794048	275.071649688211	798.576128	230.282615494562	879.317824	238.962207896151	806.04384	217.551252503692	988.991232	263.285109610657	665.337024	272.241756843609	688.459392	263.253390982036	672.16832	241.460533069159	847.633024	228.678977338016	853.256832	270.8076257669	575.491968	259.075314312474	656.755008	382.177585728926	342.230016	374.899496280697	364.386528	352.098804522915	377.668224	642.720426627634	310.115328	230.476849462302	861.97408	301.967682517062	533.971808	311.07911438395	487.069632	304.129210423795	535.417152	364.293025612069	467.563296	310.466598106692	507.339456	
580.381668485397	737.314112	250.985387133114	697.004288	235.836786108534	722.740544	277.033316128577	607.326464	280.446081406661	617.346432	260.306230161008	694.023552	228.961048601236	688.573504	258.437900617051	725.072064	257.015536128379	678.888384	227.605816192137	702.643776	234.954988337662	796.786176	267.882832831827	645.613184	262.534179604559	673.711616	223.567233276405	885.790464	314.761431161896	698.239488	202.171128227543	980.054208	240.118090429666	865.758592	256.416690693744	746.306816	252.782349762673	714.455104	277.376678809916	803.229696	233.332719750058	895.516032	241.507656264728	804.118912	223.261117246327	959.193024	265.855824879632	667.730752	274.534649895045	707.484672	265.541509186152	689.9392	243.624476821263	853.60256	230.801269073771	854.26464	276.727612213297	562.76736	261.571848917738	658.572032	386.305782297027	345.572512	379.1165675367	367.41328	355.886224785308	378.410752	650.644569971197	309.564736	234.814414558843	850.736192	307.014724555325	524.720224	315.5445913874	485.550688	308.640361115592	535.479872	368.517088608789	472.605248	314.575951080908	504.164224	
588.736684956111	742.252352	255.368270646624	695.504448	239.686080434106	720.763584	280.457563777596	612.87424	283.426325098402	626.891072	266.340102400313	679.127232	232.421306557122	686.940416	262.091767263053	715.73312	261.172012298163	667.873664	230.727401048872	697.1792	238.177313946322	808.473984	270.302202493805	657.730816	265.383939224614	674.595712	227.594575405739	884.140096	317.820658786377	702.122368	204.678406239276	980.139712	244.713426227177	856.946048	259.716508095358	742.087808	257.226595748578	714.035392	281.574224350989	811.036736	235.555041694982	894.166144	243.499762356755	817.212416	225.644689764265	959.957888	268.586213316704	675.871616	276.844311755519	717.501824	268.154572803376	687.851456	245.893921961755	854.175232	233.010715983959	870.64416	280.561331441661	563.067264	266.511286361054	659.308928	390.327255343198	347.430304	384.032585490784	367.438816	359.284864473406	383.672544	658.087306386813	311.407296	245.390999799161	802.563456	310.400432365267	529.71552	320.134527059966	485.645216	313.192780130649	541.050624	373.250696026589	479.639424	318.181159758988	507.033248	
597.276783603871	746.72192	259.264716589475	692.041792	244.353891592714	712.009216	284.329453362805	609.90688	286.677626640646	623.957888	270.19240942717	676.960768	235.283770681651	691.761408	265.437286774723	721.212352	265.182599829314	672.563328	233.688857990148	712.30816	240.623940028415	803.246272	272.597568234031	658.077888	267.493057497675	684.113792	234.886335696591	860.099072	320.506823042324	709.435712	207.925728742087	981.07808	247.770152741157	861.45536	273.218355228967	714.004672	261.708699452516	708.036224	284.348865390895	814.75328	242.48712524282	876.779904	245.343535543069	831.805568	228.046992189248	975.402112	275.823091285093	660.82016	279.310293022281	725.170624	270.634196491051	704.880576	248.465575147168	870.506176	239.698387034638	849.90528	283.842703153333	565.835264	271.945631044679	651.501888	394.784717424362	350.312608	389.781785880383	368.87168	364.317155644058	385.988544	665.216835555648	310.75968	250.743717330993	799.248704	315.099137922899	532.19328	324.946578398013	485.588576	318.007332579196	535.627776	377.031977199571	476.658528	321.097170385599	511.670336	
606.215184098852	747.238656	262.874728536585	696.195008	248.085548459627	711.727424	287.758873763087	613.733888	290.054552142125	623.884096	275.18559232454	669.007488	238.415416823809	698.565632	269.364115525814	719.766144	269.613430767989	675.003392	236.812389734034	719.33856	243.775907693391	806.761408	277.540473125996	675.210368	272.680303832523	682.860992	239.307503253786	851.881152	323.161694995303	717.349248	209.642940052729	991.603776	250.047243321703	867.456256	276.979229614001	696.627264	264.045674576525	713.922944	287.019539814764	817.586048	249.113902779321	857.81888	247.988630427728	838.932288	231.173209784751	989.060416	279.039263593488	663.673024	285.510005940804	711.420096	273.076985642262	704.438272	250.956794892619	880.035392	250.622981905918	795.184768	287.069675711617	568.439424	276.316378487918	646.308544	402.469805763146	347.227936	393.991439070015	370.327424	368.933779302533	387.90432	671.730068359764	312.386144	254.760387108134	797.0016	322.095170318764	519.744576	329.366580665088	489.342784	329.534354020601	522.88736	382.412405898882	480.921248	326.095298660549	512.70784	
615.105381373277	748.969408	266.585381759635	695.50432	251.176693664701	715.372928	291.193637444893	613.623872	293.573387242804	629.4032	279.892511756429	666.698944	241.951688643717	695.243008	273.476168562502	711.615296	274.57526451897	661.830656	240.444826410519	710.093504	247.851495675848	810.372416	287.162728390924	631.293632	276.554978745335	679.466368	241.742220639291	856.337408	328.400555155937	719.858752	212.076023189895	990.560064	252.619464941321	873.136448	279.577712893875	708.281856	266.179718689462	723.598208	292.802931521775	819.879616	252.426595215671	858.69152	251.129399938871	840.115904	233.952327244019	992.108096	281.543528903936	664.479424	290.497504496126	708.671104	275.630306824574	697.638912	254.1276629949	864.367552	254.20778379605	803.157376	291.519321822467	569.088064	280.183379538967	645.764416	406.559462492169	349.77728	398.850755712181	373.16784	372.382839104587	391.164672	678.306624734282	313.841344	259.849720651226	791.487616	325.7677384501	526.49936	334.295217858515	491.5424	333.856159278817	521.753472	387.796984167886	485.450816	330.118761226437	519.492416	
623.916793666932	752.64128	270.642751425832	689.899648	255.05475076103	713.871296	294.589605492229	617.694528	297.093842380967	631.384576	284.319420499092	664.47456	246.62140405691	685.498688	277.134696368982	714.590144	278.590712162571	665.00192	243.482766174035	704.357952	252.801903899314	804.315072	290.956600381539	632.866624	279.118133839388	683.810112	243.90687493415	865.666752	333.011665002627	719.87872	214.977226105474	996.980416	257.15403512235	871.631744	282.245630411852	712.570176	268.893253052364	730.058688	295.829246805805	819.54336	255.422499269751	860.752512	253.765740936777	839.616256	236.194686494658	1005.328576	284.631888781407	669.3984	293.948127492243	706.525696	280.454181594078	696.090944	256.819341062632	886.07008	257.33354664419	789.65824	295.961663553786	565.108352	284.053961725504	646.685056	410.119622759528	354.243296	405.163700724276	372.1384	375.973893770971	396.125024	685.110441103833	315.84896	264.626756442264	777.155904	329.27827441139	531.351232	340.362059281692	484.786048	337.115987334131	516.707328	393.442018989477	479.823072	334.327163860818	522.538496	
632.915789248134	756.835648	274.819804913825	684.391424	261.383924569669	704.817024	298.155904848999	620.719104	301.862550610906	633.653888	288.40242654792	666.929728	252.195356181206	679.359808	280.556442907501	722.246784	282.459986950438	661.327616	247.129101066824	695.988352	256.115079504738	805.143104	294.401709565871	637.31424	282.439722271041	688.955264	246.088184351206	879.324736	336.477777830822	725.886592	217.973655961193	1006.475072	259.856143957739	880.395264	284.370067986729	720.905728	272.802744560212	732.953728	298.839617510394	826.001536	258.308610257195	872.360704	257.397381805376	845.995648	239.375203767564	1014.490688	287.278063691054	680.2304	297.294670185482	709.664192	286.722419255975	696.475264	261.593023091862	887.156736	259.984041653793	803.349248	299.145491955934	569.162432	287.701660860385	649.915456	413.807737566362	358.982688	409.833245607208	373.347168	379.401552025219	399.568896	692.77901642897	314.95328	268.342696103417	770.687616	333.00589539545	530.166208	345.284159481766	484.304544	339.653193406741	523.975744	397.401276911946	485.189984	337.973242958216	526.108032	
